header,program_time,temp,height1,height2,height3,air_pressure1,air_pressure2
243,3108921,26.550369262695312,305,303,304,100495.578125,100495.703125
243,3110706,26.515655517578125,303,304,304,100495.3046875,100496.9609375
243,3111844,26.491622924804688,304,307,303,100496.1015625,100495.3671875
243,3112869,26.496963500976562,302,302,301,100495.171875,100495.2421875
243,3113893,26.464920043945312,301,303,303,100494.2578125,100496.640625
243,3114914,26.432876586914062,303,300,301,100496.46875,100498.0078125
243,3115938,26.411514282226562,302,303,302,100494.8203125,100496.046875
243,3117837,26.392822265625,302,304,304,100494.984375,100497.59375
243,3118864,26.384811401367188,304,302,301,100497.421875,100496.9453125
243,3119883,26.416854858398438,302,302,302,100497.9453125,100498.1640625
243,3120894,26.36077880859375,302,304,303,100495.8671875,100494.96875
243,3121916,26.36077880859375,303,302,303,100498.328125,100498.4140625
243,3123897,26.312713623046875,303,303,302,100497.09375,100495.328125
243,3124914,26.277999877929688,302,303,302,100496.5390625,100495.984375
243,3126910,26.160507202148438,302,301,301,100495.3828125,100495.6015625
243,3127930,26.109771728515625,301,301,301,100497.9296875,100495.84375
243,3129917,25.962905883789062,301,301,301,100497.6640625,100496.734375
243,3131900,25.877456665039062,301,301,301,100498.5703125,100498.3515625
243,3132924,25.834732055664062,301,301,301,100498.9296875,100498.640625
243,3134917,25.690536499023438,301,301,301,100497.15625,100497.0
243,3135937,25.629119873046875,301,301,301,100498.703125,100498.2734375
243,3137938,25.535659790039062,301,302,302,100499.5546875,100499.25
243,3139937,25.450210571289062,302,301,301,100498.5234375,100498.890625
243,3141932,25.364761352539062,301,301,301,100497.6875,100500.1796875
243,3143831,25.279312133789062,301,301,301,100497.53125,100497.0703125
243,3144848,25.252609252929688,301,301,301,100497.859375,100498.1796875
243,3145865,25.212554931640625,301,301,301,100499.5546875,100499.671875
243,3146885,25.18585205078125,301,301,301,100497.546875,100499.703125
243,3147905,25.148468017578125,301,301,301,100500.375,100499.15625
243,3148925,25.14312744140625,301,301,301,100500.796875,100498.8515625
243,3150917,25.092391967773438,301,301,301,100497.328125,100498.8125
243,3151939,25.049667358398438,301,301,301,100498.2734375,100499.015625
243,3153830,25.097732543945312,301,302,302,100499.7109375,100498.9921875
243,3154848,25.127105712890625,302,301,302,100500.296875,100499.703125
243,3155866,25.140457153320312,302,302,302,100499.4453125,100500.234375
243,3156884,25.156478881835938,302,302,302,100499.2890625,100499.4765625
243,3157909,25.167160034179688,302,302,302,100498.921875,100497.78125
243,3159913,25.191192626953125,302,301,301,100498.8359375,100498.546875
243,3160936,25.191192626953125,301,302,302,100498.7265625,100497.6953125
243,3162939,25.196533203125,302,302,302,100500.3046875,100498.609375
243,3164936,25.18585205078125,302,302,301,100498.96875,100499.015625
243,3166940,25.204544067382812,301,302,302,100500.2421875,100497.8984375
243,3168944,25.2392578125,302,301,301,100498.03125,100498.453125
243,3170689,25.265960693359375,301,301,301,100496.390625,100497.6171875
243,3171862,25.32470703125,301,301,301,100495.828125,100496.0859375
243,3172886,25.364761352539062,301,301,301,100496.8046875,100498.453125
243,3173900,25.394134521484375,301,301,301,100497.1328125,100498.0859375
243,3174920,25.423507690429688,301,301,301,100498.21875,100496.515625
243,3176909,25.44219970703125,301,301,301,100497.4296875,100496.2109375
243,3178910,25.444869995117188,301,301,301,100497.0234375,100496.4375
243,3180912,25.503616333007812,301,301,301,100495.109375,100495.28125
243,3182660,25.52764892578125,301,301,301,100496.3046875,100496.28125
243,3183847,25.52764892578125,301,301,301,100495.53125,100494.40625
243,3184874,25.5169677734375,301,301,301,100493.953125,100494.25
243,3185899,25.4742431640625,301,301,301,100495.1640625,100493.7578125
243,3186921,25.455551147460938,301,301,301,100494.6953125,100494.5625
243,3188922,25.487594604492188,301,301,301,100494.0546875,100494.546875
243,3190924,25.514297485351562,301,301,301,100495.0390625,100495.2890625
243,3192919,25.511627197265625,301,301,301,100493.8828125,100496.5703125
243,3194923,25.543670654296875,301,301,301,100495.921875,100494.515625
243,3196912,25.532989501953125,301,301,301,100495.125,100496.125
243,3198899,25.546340942382812,301,301,301,100495.921875,100496.03125
243,3199929,25.541000366210938,301,301,301,100495.7578125,100497.3828125
243,3201930,25.554351806640625,301,301,301,100494.59375,100495.296875
243,3203929,25.514297485351562,301,301,301,100495.7578125,100495.59375
243,3205935,25.500946044921875,301,301,301,100495.0,100494.3359375
243,3207832,25.490264892578125,301,301,301,100497.6875,100496.5859375
243,3208852,25.48492431640625,301,301,301,100494.359375,100496.1171875
243,3209872,25.482254028320312,301,301,302,100497.1953125,100495.78125
243,3210899,25.48492431640625,302,301,301,100495.8515625,100497.3828125
243,3211923,25.458221435546875,302,302,302,100496.6640625,100497.03125
243,3213926,25.434188842773438,302,302,302,100497.375,100495.3984375
243,3215914,25.41015625,302,303,303,100497.1328125,100497.6953125
243,3216934,25.396804809570312,303,304,304,100496.8203125,100498.25
243,3218936,25.402145385742188,304,303,304,100497.296875,100497.7734375
243,3220927,25.46356201171875,304,304,304,100498.8515625,100497.8828125
243,3222916,25.5169677734375,303,302,303,100497.109375,100496.9375
243,3223940,25.562362670898438,303,302,302,100498.4921875,100496.9140625
243,3225942,25.626449584960938,302,303,302,100496.1875,100497.734375
243,3227941,25.6878662109375,301,303,303,100496.4140625,100497.6484375
243,3229856,25.725250244140625,303,303,304,100494.84375,100493.6484375
243,3230879,25.706558227539062,304,301,302,100496.2734375,100495.1171875
243,3231904,25.695877075195312,302,302,302,100493.625,100493.7109375
243,3233898,25.714569091796875,302,302,302,100497.5703125,100496.5546875
243,3234926,25.722579956054688,303,302,302,100496.078125,100498.5
243,3236926,25.738601684570312,302,302,303,100497.71875,100496.140625
243,3238924,25.751953125,303,303,303,100496.5546875,100499.3515625
243,3240930,25.7733154296875,302,303,303,100496.9296875,100496.484375
243,3242936,25.786666870117188,303,303,303,100497.015625,100499.4609375
243,3244941,25.800018310546875,302,302,302,100499.25,100498.4375
243,3246934,25.770645141601562,302,303,303,100499.3984375,100499.46875
243,3248931,25.778656005859375,302,303,303,100501.875,100501.015625
243,3250932,25.78399658203125,303,302,302,100501.03125,100497.9765625
243,3252930,25.797348022460938,302,303,303,100498.1484375,100499.34375
243,3254947,25.800018310546875,303,302,302,100498.3515625,100500.78125
243,3256874,25.671844482421875,303,302,302,100495.265625,100493.9140625
243,3257902,25.594406127929688,302,306,306,100496.1640625,100499.1015625
243,3258925,25.503616333007812,306,302,302,100496.375,100495.140625
243,3260925,25.460891723632812,302,302,306,100496.5625,100497.984375
243,3262910,25.348739624023438,306,302,302,100495.203125,100497.109375
243,3263931,25.281982421875,302,302,302,100509.5078125,100491.515625
243,3265920,25.140457153320312,302,302,302,100499.609375,100498.3359375
243,3267905,25.113754272460938,302,302,306,100497.1796875,100496.625
243,3268920,25.103073120117188,302,302,302,100498.5859375,100494.890625
243,3270918,25.01495361328125,302,302,302,100501.828125,100499.5390625
243,3272915,24.97222900390625,302,302,302,100500.109375,100497.203125
243,3273941,24.934844970703125,302,302,302,100502.3984375,100500.046875
243,3275930,24.8974609375,302,302,302,100499.765625,100500.40625
243,3277930,24.84405517578125,302,302,302,100501.1875,100499.3671875
243,3279929,24.820022583007812,302,302,302,100499.03125,100501.8828125
243,3281916,24.793319702148438,302,302,302,100499.3984375,100501.2578125
