header,program_time,unixEpoch,latitude,longitude,altitude,groundSpeed,heading
241,284611,1684527424,35.1242494,138.6309047,15139,32,0
241,285612,1684527425,35.1242496,138.6309052,15148,67,0
241,286605,1684527426,35.1242504,138.6309058,15202,9,0
241,287601,1684527427,35.1242504,138.630906,15126,7,0
241,288609,1684527428,35.124251,138.6309061,15100,11,0
241,289617,1684527429,35.124251,138.6309059,15101,23,0
241,290616,1684527430,35.1242507,138.6309057,15049,7,0
241,291616,1684527432,35.124252,138.6309056,15116,13,0
241,293566,1684527433,35.1242523,138.6309055,15091,4,0
241,294572,1684527434,35.1242525,138.6309055,15070,11,0
241,295580,1684527435,35.1242521,138.6309059,15122,5,0
241,296579,1684527436,35.1242518,138.6309062,15171,11,0
241,297576,1684527437,35.124251,138.6309062,15265,44,0
241,298571,1684527438,35.1242509,138.6309065,15309,54,0
241,299567,1684527439,35.1242503,138.6309068,15307,3,0
241,300570,1684527440,35.1242494,138.6309072,15236,7,0
241,301577,1684527441,35.1242487,138.6309076,15267,21,0
241,302582,1684527442,35.1242479,138.630908,15287,30,0
241,303591,1684527443,35.124247,138.6309086,15328,34,0
241,304592,1684527444,35.1242467,138.6309088,15428,12,0
241,305593,1684527445,35.1242465,138.6309092,15491,19,0
241,306594,1684527446,35.1242462,138.6309095,15614,20,0
241,307598,1684527447,35.1242458,138.6309097,15795,6,0
241,308597,1684527448,35.1242457,138.63091,15959,14,0
241,309600,1684527449,35.1242452,138.6309105,16123,4,0
241,310607,1684527450,35.1242445,138.6309111,16261,14,0
241,311610,1684527451,35.1242441,138.6309114,16392,11,0
241,312623,1684527452,35.1242442,138.6309117,16429,52,0
241,313618,1684527453,35.1242441,138.630912,16489,13,0
241,314620,1684527454,35.1242434,138.6309125,16530,16,0
241,315622,1684527456,35.124243,138.6309133,16718,37,0
241,317584,1684527457,35.1242424,138.6309131,16703,25,0
241,318596,1684527458,35.1242421,138.6309129,16602,12,0
241,319605,1684527459,35.1242418,138.630913,16555,10,0
241,320635,1684527460,35.1242416,138.6309131,16528,4,0
241,321669,1684527462,35.124241,138.6309137,16631,21,0
241,323587,1684527463,35.124241,138.6309143,16702,4,0
241,324606,1684527464,35.1242412,138.6309146,16740,16,0
241,325620,1684527465,35.1242414,138.6309148,16705,10,0
241,326631,1684527466,35.1242419,138.630915,16749,5,0
