header,quatW,quatX,quatY,quatZ,magX,magY,magZ
240,0.9981689453125,0.05792236328125,0.01611328125,0.00048828125,35.5,-242.75,108.25
240,0.99822998046875,0.05792236328125,0.0155029296875,0.00042724609375,35.75,-243.0625,109.0
240,0.9981689453125,0.05792236328125,0.01568603515625,0.00042724609375,35.75,-242.375,108.25
240,0.9981689453125,0.05804443359375,0.01580810546875,0.00042724609375,35.75,-243.1875,108.25
240,0.9981689453125,0.05792236328125,0.01690673828125,0.00042724609375,37.0,-242.75,108.6875
240,0.9981689453125,0.05792236328125,0.0162353515625,0.0003662109375,36.5625,-242.75,107.25
240,0.9981689453125,0.05792236328125,0.01751708984375,0.00048828125,35.0625,-242.875,107.25
240,0.9981689453125,0.05792236328125,0.016845703125,0.00042724609375,37.0,-242.875,107.375
240,0.9981689453125,0.05792236328125,0.016845703125,0.00042724609375,37.0,-243.1875,108.1875
240,0.9981689453125,0.05792236328125,0.01678466796875,0.00042724609375,37.25,-242.0625,107.375
240,0.9981689453125,0.05792236328125,0.0166015625,0.00042724609375,35.75,-242.5,107.875
240,0.9981689453125,0.05792236328125,0.01678466796875,0.00042724609375,36.1875,-242.875,107.875
240,0.9981689453125,0.05792236328125,0.01678466796875,0.00042724609375,36.1875,-242.5625,108.6875
240,0.9981689453125,0.05792236328125,0.01678466796875,0.00042724609375,36.5625,-242.5625,109.0
240,0.99822998046875,0.057373046875,0.017333984375,0.00042724609375,37.0,-243.5625,109.0625
240,0.9981689453125,0.0574951171875,0.01739501953125,0.0003662109375,34.75,-242.1875,109.0625
240,0.9981689453125,0.0577392578125,0.01849365234375,0.00042724609375,35.75,-242.5625,109.5625
240,0.9981689453125,0.0577392578125,0.01849365234375,0.00042724609375,36.1875,-242.875,107.6875
240,0.9981689453125,0.0577392578125,0.01849365234375,0.00042724609375,60.0,-403.5,180.75
240,0.9981689453125,0.0577392578125,0.01861572265625,0.00042724609375,58.5625,-403.1875,180.75
240,0.9981689453125,0.0577392578125,0.01885986328125,0.00042724609375,61.0625,-403.1875,180.375
240,0.9981689453125,0.0577392578125,0.01861572265625,0.00042724609375,60.375,-403.875,179.5625
240,0.9981689453125,0.0577392578125,0.0186767578125,0.00042724609375,60.75,-402.375,179.25
240,0.9981689453125,0.0577392578125,0.0186767578125,0.00042724609375,59.6875,-403.5625,180.0625
240,0.9981689453125,0.0577392578125,0.0186767578125,0.00042724609375,59.6875,-402.375,180.0625
240,0.9981689453125,0.0577392578125,0.01861572265625,0.00042724609375,59.25,-403.5625,180.5625
240,0.9981689453125,0.0577392578125,0.01849365234375,0.00042724609375,59.25,-403.5625,180.5625
